Date,Word,Count
2024-01-01,a,       5
2024-01-02,a,       8
2024-01-03,a,      14
2024-01-04,a,       9
2024-01-05,a,       3
2024-01-06,a,       2
2024-01-07,a,       6
2024-01-08,a,       9
2024-01-09,a,       4
2024-01-10,a,       7
2024-01-11,a,       7
2024-01-12,a,       5
2024-01-13,a,       4
2024-01-14,a,       7
2024-01-15,a,       5
2024-01-16,a,       5
2024-01-17,a,       8
2024-01-18,a,      14
2024-01-19,a,       9
2024-01-20,a,       3
2024-01-21,a,       2
2024-01-22,a,       6
2024-01-23,a,       9
2024-01-24,a,       4
2024-01-25,a,       7
2024-01-26,a,       7
2024-01-27,a,       5
2024-01-28,a,       4
2024-01-29,a,       7
2024-01-30,a,       5
2024-01-31,a,       5
2024-02-01,a,       8
2024-02-02,a,      14
2024-02-03,a,       9
2024-02-04,a,       3
2024-02-05,a,       2
2024-02-06,a,       6
2024-02-07,a,       9
2024-02-08,a,       4
2024-02-09,a,       7
2024-02-10,a,       7
2024-02-11,a,       5
2024-02-12,a,       4
2024-02-13,a,       7
2024-02-14,a,       5
2024-02-15,a,       5
2024-02-16,a,       8
2024-02-17,a,      14
2024-02-18,a,       9
2024-02-19,a,       3
2024-02-20,a,       2
2024-02-21,a,       6
2024-02-22,a,       9
2024-02-23,a,       4
2024-02-24,a,       7
2024-02-25,a,       7
2024-02-26,a,       5
2024-02-27,a,       4
2024-02-28,a,       7
2024-02-29,a,       5
2024-03-01,a,       5
2024-03-02,a,       8
2024-03-03,a,      14
2024-03-04,a,       9
2024-03-05,a,       3
2024-03-06,a,       2
2024-03-07,a,       6
2024-03-08,a,       9
2024-03-09,a,       4
2024-03-10,a,       7
2024-03-11,a,       7
2024-03-12,a,       5
2024-03-13,a,       4
2024-03-14,a,       7
2024-03-15,a,       5
2024-03-16,a,       5
2024-03-17,a,       8
2024-03-18,a,      14
2024-03-19,a,       9
2024-03-20,a,       3
2024-03-21,a,       2
2024-03-22,a,       6
2024-03-23,a,       9
2024-03-24,a,       4
2024-03-25,a,       7
2024-03-26,a,       7
2024-03-27,a,       5
2024-03-28,a,       4
2024-03-29,a,       7
2024-03-30,a,       5
2024-03-31,a,       5
2024-04-01,a,       8
2024-04-02,a,      14
2024-04-03,a,       9
2024-04-04,a,       3
2024-04-05,a,       2
2024-04-06,a,       6
2024-04-07,a,       9
2024-04-08,a,       4
2024-04-09,a,       7
2024-04-10,a,       7
2024-04-11,a,       5
2024-04-12,a,       4
2024-04-13,a,       7
2024-04-14,a,       5
2024-04-15,a,       5
2024-04-16,a,       8
2024-04-17,a,      14
2024-04-18,a,       9
2024-04-19,a,       3
2024-04-20,a,       2
2024-04-21,a,       6
22024-04-22,a,       9
2024-04-23,a,       4
2024-04-24,a,       7
2024-04-25,a,       7
2024-04-26,a,       5
2024-04-27,a,       4
2024-04-28,a,       7
2024-04-29,a,       5
2024-04-30,a,       5
2024-05-01,a,       8
2024-05-02,a,      14
2024-05-03,a,       9
2024-05-04,a,       3
2024-05-05,a,       2
2024-05-06,a,       6
2024-05-07,a,       9
2024-05-08,a,       4
2024-05-09,a,       7
2024-05-10,a,       7
2024-05-11,a,       5
2024-05-12,a,       4
2024-05-13,a,       7
2024-05-14,a,       5
2024-05-15,a,       5
2024-05-16,a,       8
2024-05-17,a,      14
2024-05-18,a,       9
2024-05-19,a,       3
2024-05-20,a,       2
2024-05-21,a,       6
2024-05-22,a,       9
2024-05-23,a,       4
2024-05-24,a,       7
2024-05-25,a,       7
2024-05-26,a,       5
2024-05-27,a,       4
2024-05-28,a,       7
2024-05-29,a,       5
